"year","emissions","municipality","surface","compactness","demand","gas_consume","electricity_consume","diesel_consume","eco_consume","co2","energy"
"1910","42.13","Barcelona ","43.52","5.44","140.67","68.89","74.83","0","228.21","E","E"
"1981","88.48","Sant Quirze del Vallès","282.9","1.29","193.68","16.22","2.98","268.2","341.33","F","E"
"1969","179.6","PIERA","65.61","0.68","413.03","707.81","3.73","0","849.58","G","G"
"1988","71.14","DOSRIUS","48.8","0.49","261.16","258.58","18.06","0","343","F","G"
"2002","43.57","Viladecavalls","160.02","1.74","158.92","150.5","17.04","0","212.4","D","E"
"1960","48.07","Santa Coloma de Cervelló","99.75","1.25","160.68","174.16","12.63","0","231.93","E","E"
"1992","29.89","Piera  ","151","1.1","93.09","116.57","1.55","0","141.74","D","D"
"1930","59.92","Palafolls","157.82","1.24","207.53","175.08","22.68","0","291.88","E","F"
"1989","45.77","Cabrils","92.21","1.46","141.01","179.56","1.58","0","216.76","E","E"
"1982","87.28","Torrelles de Foix","62.25","0.75","180.89","0","0.94","232.52","345.26","G","G"
"2005","45.47","Barcelona ","97.5","1.16","158.78","156.28","18.4","0","221.92","E","E"
"1949","70.68","Castelldefels","163.71","1.03","195.28","0","27.62","197.87","287.25","F","F"
"1975","138.55","Barcelona ","81","0.49","309.73","0","7.37","437.67","530.42","G","G"
"1975","49.79","Barcelona ","180","1.36","128.17","0","3.07","156.83","190.91","E","E"
"1962","35.6","Barcelona ","62","1.52","125.36","136.72","3.47","0","169.49","E","E"
"1973","59.7","OLVAN","58.62","1.45","205.87","123.9","86.03","0","315.55","E","F"
"1975","76.08","Rubí","40.22","0.86","268.01","0","69.52","0","388.78","G","G"
"1984","84.97","Moià","51.7","0.83","301.89","336.92","0.2","0","401.32","F","F"
"2001","62.45","Collbató","125.4","0.91","194.33","240.93","5.25","0","296.95","E","F"
"1958","79.07","Mataró","74","0.74","276.26","51.53","0","0","375.08","G","G"
"1920","50.48","Barcelona ","69.3","0.99","149.98","136.25","46.33","0","256.56","E","E"
"1955","32.52","Sabadell","65.17","1.09","106.98","128.88","0.13","0","153.63","D","E"
"1981","86.61","La Torre de Claramunt","139.78","1.01","185.94","0","28.91","247.73","348.56","G","G"
"1945","99.22","Manlleu","106.17","1.31","246.64","0","1.37","317.59","377.11","G","F"
"2010","48.89","Corbera de Llobregat","247.6","1.43","159.25","181.36","9.62","0","234.61","E","E"
"1993","52.59","CUBELLES","95.92","1.4","186.7","162.35","35.28","0","262.14","E","E"
"1965","70.29","Sant Vicenç dels Horts","47.1","0.63","324.94","0","212.36","0","414.95","F","G"
"1960","69.4","Tordera","49","0.76","251.88","267.22","6.22","0","330.14","F","G"
"2006","17.74","Esplugues de Llobregat","347","1.84","74.67","48.66","16.56","0","90.26","C","C"
"1980","106.98","Castellví de Rosanes","112.24","0.84","215.89","0","2.57","308.28","416.96","G","G"
"1979","29.2","Mataró","238.67","1.1","133.63","109.31","2.96","0","139.83","D","D"
